ID;ID_BASE;TIPO_DATO;FECHA;DEPARTAMEN;MUNICIPIO;TIPO_SUELO;SUBZONA;DIRECCION;TIPO_INMUE;ZHF;ZHG;VALOR_ZHG;ESTRATO;ANIO_CONST;ESTADO_CON;AREA_TERRE;AREA_CONST;VALOR_M2_I;VALOR_TOTA;VALOR_ARRI;VALOR_ADMI;NUM_PISOS;NUM_HABITA;NUM_BANIOS;NUM_PARQ;ZONAS_COMU;ACUEDUCTO;ALCANTARIL;ENERGIA;GAS;FUENTE;NOMBRE_FUE;LATITUD;LONGITUD;FECHA_VALO
108243;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;GRANADA;;APARTAMENTO;;;;4;2015;;;72;7361111;530000000;;470000;;2;2;1;;;;;;FR_97095;FINCA_RAIZ;4,647059917;-74,05583191;01/07/2020
108244;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;LA SALLE;;APARTAMENTO;;;;4;1997;;;78;4628205;361000000;;350000;;3;2;1;;;;;;FR_97096;FINCA_RAIZ;4,643080235;-74,05812836;01/07/2020
108245;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;CHAPINERO CENTRAL;;APARTAMENTO;;;;3;;;;93;4139785;385000000;;450000;;2;2;0;;;;;;FR_97097;FINCA_RAIZ;4,646528721;-74,06053925;01/07/2020
108247;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;LAS AMERICAS;;APARTAMENTO;;;;4;;;;118;4661017;550000000;;120000;;3;2;1;;;;;;FR_97100;FINCA_RAIZ;4,628762722;-74,07866669;01/07/2020
108248;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;SANTA TERESITA;;APARTAMENTO;;;;4;;;;128;3281250;420000000;;70000;;4;3;1;;;;;;FR_97101;FINCA_RAIZ;4,632759571;-74,07387543;01/07/2020
108249;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;PARDO RUBIO;;APARTAMENTO;;;;4;2008;;;60;4966667;298000000;;268000;;2;1;0;;;;;;FR_97102;FINCA_RAIZ;4,633450031;-74,06334686;01/07/2020
108250;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;PALERMO;;APARTAMENTO;;;;3;2008;;;50;5600000;280000000;;200000;;2;2;1;;;;;;FR_97103;FINCA_RAIZ;4,635016682;-74,0719057;01/07/2020
108252;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;PARDO RUBIO;;APARTAMENTO;;;;4;1997;;;55;5452727;299900000;;276400;;2;2;1;;;;;;FR_97105;FINCA_RAIZ;4,635392655;-74,06137112;01/07/2020
108253;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;GALERIAS;;APARTAMENTO;;;;3;2008;;;51;5490196;280000000;;200000;;2;2;1;;;;;;FR_97106;FINCA_RAIZ;4,642594365;-74,07493181;01/07/2020
108254;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;SAN LUIS;;APARTAMENTO;;;;4;;;;52;6384615;332000000;;;;2;2;1;;;;;;FR_97107;FINCA_RAIZ;4,644060135;-74,07303619;01/07/2020
